datetime,PM2.5,PM10,NO2,CO,SO2,temperature,humidity,wind_speed
2022-01-01 00:00:00,37.21,60.83,21.88,1.19,7.3,-0.74,88.82,5.61
2022-01-01 01:00:00,36.47,66.23,19.77,1.07,4.84,-1.84,86.98,4.17
2022-01-01 02:00:00,39.53,64.43,17.29,1.08,4.64,0.23,86.92,4.87
2022-01-01 03:00:00,42.85,113.64,19.28,1.21,4.71,2.78,81.22,2.71
2022-01-01 04:00:00,47.07,112.75,19.9,1.25,4.65,0.3,84.18,3.3
2022-01-01 05:00:00,64.59,130.03,26.89,1.58,5.39,1.5,82.57,2.54
2022-01-01 06:00:00,83.75,212.73,34.45,1.84,4.7,6.42,76.86,1.94
2022-01-01 07:00:00,96.21,144.63,33.93,2.03,6.18,6.09,83.15,3.09
2022-01-01 08:00:00,119.33,185.32,35.41,2.23,6.39,4.83,81.03,1.19
2022-01-01 09:00:00,98.26,144.65,31.2,1.96,6.73,7.89,68.65,2.21
2022-01-01 10:00:00,75.32,119.65,26.93,1.68,8.51,6.67,80.9,4.16
2022-01-01 11:00:00,65.25,127.11,27.55,1.53,12.74,7.16,78.25,1.92
2022-01-01 12:00:00,68.27,158.77,24.5,1.83,10.73,8.75,79.89,2.46
2022-01-01 13:00:00,40.03,90.61,21.7,1.15,15.0,4.27,77.75,4.1
2022-01-01 14:00:00,41.66,75.21,20.87,1.14,18.03,4.15,85.18,5.22
2022-01-01 15:00:00,53.0,79.57,27.23,1.7,18.49,5.68,76.97,4.02
2022-01-01 16:00:00,65.54,116.74,24.58,1.71,13.98,3.74,84.8,4.67
2022-01-01 17:00:00,61.34,107.51,25.77,1.54,14.8,5.19,74.2,6.43
2022-01-01 18:00:00,68.98,117.62,32.76,1.68,12.61,1.45,77.74,5.24
2022-01-01 19:00:00,61.96,113.34,23.81,1.5,14.4,-0.85,87.5,6.58
2022-01-01 20:00:00,64.5,144.41,28.81,1.74,13.04,3.7,76.39,5.26
2022-01-01 21:00:00,53.97,128.8,23.72,1.39,9.27,-0.72,100.0,5.73
2022-01-01 22:00:00,36.64,58.4,17.59,1.06,7.47,-0.93,87.27,6.48
2022-01-01 23:00:00,36.11,82.03,33.23,1.37,9.35,-4.41,85.73,5.34
2022-01-02 00:00:00,43.2,81.23,17.88,1.25,6.99,-2.78,90.78,4.03
2022-01-02 01:00:00,42.29,75.11,16.13,1.06,10.38,-1.3,79.19,4.3
2022-01-02 02:00:00,41.13,104.94,26.1,1.27,6.47,-3.32,92.04,3.51
2022-01-02 03:00:00,51.45,76.83,22.95,1.48,10.37,0.53,88.74,2.64
2022-01-02 04:00:00,65.15,170.06,21.58,1.59,5.84,-0.39,92.34,2.01
2022-01-02 05:00:00,72.6,137.2,23.75,1.51,7.13,1.43,77.33,1.66
2022-01-02 06:00:00,59.49,146.57,24.17,1.41,4.6,2.11,70.53,5.74
2022-01-02 07:00:00,94.09,150.93,32.37,1.92,5.93,8.31,70.47,3.15
2022-01-02 08:00:00,78.24,194.3,27.28,1.66,6.21,5.78,75.12,5.21
2022-01-02 09:00:00,113.34,257.11,32.54,2.12,7.71,4.73,91.55,1.25
2022-01-02 10:00:00,86.54,180.53,30.37,2.02,14.22,9.29,92.13,2.54
2022-01-02 11:00:00,72.54,166.55,25.99,1.62,8.75,5.7,80.2,1.72
2022-01-02 12:00:00,59.53,130.0,24.71,1.79,13.01,8.73,75.09,2.04
2022-01-02 13:00:00,46.56,83.33,19.28,1.33,13.15,4.22,75.82,3.42
2022-01-02 14:00:00,42.77,108.11,26.35,1.26,12.54,4.98,84.61,4.56
2022-01-02 15:00:00,56.3,143.28,20.73,1.29,13.47,7.24,93.72,3.62
2022-01-02 16:00:00,64.4,107.14,28.07,1.51,12.13,7.29,90.46,4.68
2022-01-02 17:00:00,77.07,124.17,25.53,1.62,12.43,4.95,87.15,4.56
2022-01-02 18:00:00,69.62,167.18,27.62,1.57,14.22,3.08,88.52,5.41
2022-01-02 19:00:00,64.56,112.35,27.71,1.66,10.85,1.41,87.53,5.89
2022-01-02 20:00:00,53.91,132.56,22.98,1.42,9.72,-2.15,83.34,5.62
2022-01-02 21:00:00,42.75,91.38,20.71,1.18,11.08,-1.66,77.44,
2022-01-02 22:00:00,34.07,84.24,28.29,1.33,16.26,-1.94,83.39,6.05
2022-01-02 23:00:00,41.56,98.03,19.91,1.45,14.8,0.6,84.9,5.02
2022-01-03 00:00:00,38.66,97.2,18.84,1.26,6.94,-0.95,71.13,4.74
2022-01-03 01:00:00,37.51,64.45,17.22,1.12,4.3,-5.0,84.77,4.39
2022-01-03 02:00:00,48.83,101.77,15.92,1.27,8.17,-0.32,75.65,3.71
2022-01-03 03:00:00,36.9,72.97,19.55,1.15,3.38,-0.95,90.87,4.63
2022-01-03 04:00:00,50.25,115.38,23.61,1.62,8.23,-0.49,78.0,2.23
2022-01-03 05:00:00,51.28,92.42,23.1,,4.29,3.29,81.99,4.5
2022-01-03 06:00:00,85.62,188.82,28.27,1.74,5.97,5.42,72.06,1.87
2022-01-03 07:00:00,98.05,214.67,34.22,2.14,6.73,6.52,89.57,3.0
2022-01-03 08:00:00,84.2,148.52,29.49,1.81,6.11,4.18,65.05,4.23
2022-01-03 09:00:00,84.63,174.65,29.28,1.83,6.69,6.28,80.79,4.34
2022-01-03 10:00:00,81.43,187.77,28.62,1.71,13.19,8.35,65.1,2.17
2022-01-03 11:00:00,65.22,143.31,28.14,1.62,10.37,10.14,69.81,2.03
2022-01-03 12:00:00,49.38,82.4,20.44,1.57,10.84,7.4,77.73,3.4
2022-01-03 13:00:00,48.18,79.61,22.17,1.23,14.32,7.82,77.79,2.79
2022-01-03 14:00:00,39.08,69.98,22.89,1.3,13.73,5.48,79.45,5.35
2022-01-03 15:00:00,49.72,77.94,21.66,1.68,14.35,4.5,79.61,5.38
2022-01-03 16:00:00,48.56,103.28,22.69,1.29,13.05,7.48,70.88,6.38
2022-01-03 17:00:00,70.6,156.88,23.47,1.57,13.88,7.37,74.79,5.27
2022-01-03 18:00:00,70.11,97.52,24.31,1.49,12.39,3.22,79.68,5.95
2022-01-03 19:00:00,64.84,164.53,24.32,1.46,14.08,4.07,80.31,5.09
2022-01-03 20:00:00,63.71,151.9,25.43,1.56,12.13,1.58,80.21,6.75
2022-01-03 21:00:00,43.9,92.68,21.43,1.36,11.81,-1.47,89.01,5.93
